,comment
0,
1,"Это обращение куда приятнее слушать, чем одну одну ту же плёнку на протяжении 20 лет. Спасибо Вам огромное!"
2,"Пусть как можно больше людей доживёт до того, чтобы поздравлять друг друга с окончанием 2022.  Пожалуйста."
3,"Екатерина Михайловна, пожалуйста, поздравьте нас с наступающим 2023 годом  это так важно для нас. Не понятно что можно утешительного сказать подводя итого, но сами мы точно не сможем подобрать слова..."
4,Хочу когда-нибудь в будущем увидеть эту женщину на главных каналах страны перед боем курантов в новогоднюю ночь 
5,"Сегодня 1 апреля 2022, и как странно и трагично смотреть на жизнь до 24.02.2022! И как права была Екатерина Михайловна: 2022 год останется в истории как самоценный, который не нужно будет пояснять."
6,"Дорогая Екатерина Михайловна, а так же все её подписчики и поклонники!! Желаю Вам счастья, здоровья и любви в Новом году!!"
7,"Отвечу на это традиционным: ""Екатерину Михайловну в президенты!"". Спасибо Вам!
Отдельное спасибо директору канала и съёмочной команде, благодаря которой стали выходить выпуски с ответами на вопросы."
8,"Только сейчас прослушала поздравление от Екатерины Михайловны, вот в этот миг наступил 2022 год, пойду подниму бокал шампанского за всех настойчивых людей России и планеты!!  
И веры в доброе и прекрасное!! Всем  "
9,"Дорогая и горячо любимая Екатерина Михайловна, с новым годом! Всех благ Вашей прекрасной семье! Спасибо за свет и знания, которые Вы дарите! Будьте счастливы!"
10,Новогоднее обращение для здорового человека от здорового человека
11,"Одно из лучших новогодних обращений! Очень скоро, я надеюсь, наступит настоящий новый год, или новый век (новая веха) в истории нашей страны, России "
12,"Речь, после которой настроение улучшается даже 1 января! Браво, Екатерина Михайловна!"
13,"Нету поздравленья лучше, чем Екатерины Шульман!!!!"
14,"Очень надеюсь на новогоднее поздравление в конце 2022... Свободу России, слава Украине, жыве Беларусь! С наступающими!"
15,"ЕМ, рассказывайте нам потом что у вас нет президентских амбиций. Новогодние обращения вон уже тренируете :-).  Спасибо за ваши слова, вам и семье хорошего года!"
16,"Одно из лучших обращений, приуроченному к 2022 году. Спасибо, что дарите широкой аудитории разный спектр академических знаний"
17,"С Новым годом Екатерина Михайловна.
Здоровья Вам  и всего наилучшего."
18,"Прекрасные пожелания от прекрасной, умной и позитивной женщины!
Спасибо, что Вы есть с нами!
Всех Вам Благ!"
19,"Единственное обращение, которое хочется смотреть."
20,"Стоическая мораль выживших.... Екатерина Михайловна, спасибо Вам за смысловые нагрузки"
21,"Президент умного человека
С Новым годом! 
Спасибо Вам, Екатерина Михайловна, за Вашу просветительскую деятельность!"
22,"Какая Вы удивительная, Екатерина Михайловна! Как особенно приятно видеть Ваше лицо и слушать Вас именно на этом фоне.  Присоединяюсь к поздравлениям!"
23,"Я очень хотел бы, что когда-нибудь , Россию возглавит  такой человек, как Екатерина."
24,"Уважаемая Екатерина Михайловна, низкий Вам поклон за все труды Ваши и самые тёплые и добрые пожелания в Новом году! Пока в нашей стране есть такие люди как Вы - я понимаю что ещё не все потеряно "
25,"Президентское обращение, которое мы пока не заслужили."
26,"Забавно послушать в октябре 2022. Если за 21й мы достойны медалей, то за 22й , видимо, памятники ставить можно."
27,"С Новым годом, Екатерина Михайловна!!! Прекрасная, необыкновенная, обожаемая, спасибо Вам, берегите себя!"
28,"Вот это поздравление ,ничего лишнего,все по делу,да еще какая мотивация.Это лучшее поздравление за этот год!Подписываюсь на канал!"
29,Очень ждем обращения в этом году!
30,"Вот какие Слова, какой Смысл должен быть у первого лица, Первого среди Равных! С Новым годом, дорогая Екатерина Михайловна! С ещё большей настойчивостью будем Жить! Огромное спасибо! Это заряд на весь предстоящий год!"
31,"Наконец-то Екатерина Михайловна на своем месте 
Спасибо вам за все эфиры и видео в этом году️️️"
32,"Спасибо Екатерина Михайловна - в самое сердце слова, в самую суть! И вас С Наступившим!"
33,"Большое спасибо, Екатерина  Михайловна, за эти вдохновляющиие и обнадеживаюшие слова! Так победим!"
34,"Ум, честь и совесть! 
Спасибо 2021ому, что познакомил меня с каналом Екатерины Шульман. Многие ее лекции меня успокоили и забрали страхи из настоящего и будущего. 
Спасибо!"
35,"Екатерина Михайловна, спасибо вам что вы есть! Будьте с нами еще, здоровья вам и удачи!"
36,"Лучшее новогоднее поздравление за все 28 лет моей жизни, о котором давно уже мечталось, и каждое слово прямо в сердечко, огромное спасибо!!!"
37,Президент Е.М. Шульман поздравляет своих сограждан с Новым Годом
