,comment
0,Новые телевизоры Sber от SberDevices https://s.sber.ru/zJgW9
1,25:11
2,30:02
3,34:40
4,2:53
5,20:09
6,21:49
7,Новинка
8,20:49
9,35:26
10,19:14
11,41:37
12,34:24
13,Новинка
14,Новинка
15,Новинка
16,Новинка
17,Новинка
18,1:31:21
19,9:30
20,Ещё
21,"Даже нарезки из этого фильма вызывают вселенскую боль, не представляю что ты пережил"
22,"Настали такие времена, когда кинокомпании соревнуются между собой, не за качественный проэкт, а кто из них снимет большую чушь и казалось бы, все, дно пробито, хуже уже быть не может, но с каждым разом, они доказывают, что это еще не предел! Становиться печально, за будущее кинопроизводства, но радует то, что пока есть KINOKOS любые такие ""фильмы"" становится шедеврами! Спасибо за хорошее настроение! "
23,"Ты там это... Держись давай! Мы понимает , что сложно и практически нревозможно оставаться в здавом уме, пересматривая это все по 10 раз, но мы верим , что у тебя хватит сил еще на много "" ШЕДЕВРОВ""))))"
24,"У меня есть вопрос. Зачем этих сестер заключали, если с помощью посоха у них можно забрать силы и они станут смертными? Или это эксклюзивное заклинание сестер?))"
25,Дочурка - милота такая)) «нашему блоггеру поплохело» - в семье главное - поддержка)))) 16:39
26,"- Дэвид, а нормально ли для психики вообще смотреть это кинцо?"
27,"Времена, когда главной нашей проблемой была плохая концовка Игры престолов"
28,"Да, во что превратили Шазама(капитана Марвел), а ведь ещё помню каким он был, как выделялся среди членов лиги именно чистотой идеалов(даже на фоне Супса), как кадмус его детской наивностью воспользовался и как Шазам воротил рожу аж Супермэну. Или как Шазам и Супермэн в два смычка Чёрного Адама разматывали. И детскость Шазама была не его фишкой, а его слабостью(аки криптонит). Эхх, долбоё*ы всё прое*али."
29,"Насчёт характера билли подростка и билли взрослого . Можно было бы прописать это изменение в поведении тем , что мальчик имеет компликсы и крайне недоверчив , а взрослым он имеет возможность вести себя как захочет , ведь он совсем другой человек."
30,"21:25 ага......единорогов.....правильных единорогов......собака ЧЕРНЫХ ЕДИНОРОГОВ!!! писец, они уже не знают  как BLM повестку пропихнуть....."
31,Текст из Мегамозга действительно идеально подходит к этому фильму)
32,16:59 10 из 10 за эту сцену
33,"Костян,ну это уже какой то новый уровень кино грехов,низкий тебе поклон"
