,comment
0,Новинка
1,Новинка
2,Новинка
3,Новинка
4,Новинка
5,Новинка
6,51:51
7,1:15:35
8,1:06:29
9,59:02
10,23:05
11,Новинка
12,1:41:49
13,15:47
14,1:52:51
15,10:27
16,22:26
17,Новинка
18,38:25
19,Ещё
20,"Это обращение куда приятнее слушать, чем одну одну ту же плёнку на протяжении 20 лет. Спасибо Вам огромное!"
21,"Очень надеюсь на новогоднее поздравление в конце 2022... Свободу России, слава Украине, жыве Беларусь! С наступающими!"
22,"Екатерина Михайловна, пожалуйста, поздравьте нас с наступающим 2023 годом  это так важно для нас. Не понятно что можно утешительного сказать подводя итого, но сами мы точно не сможем подобрать слова..."
23,Очень ждем обращения в этом году!
24,"Пусть как можно больше людей доживёт до того, чтобы поздравлять друг друга с окончанием 2022.  Пожалуйста."
25,"Забавно послушать в октябре 2022. Если за 21й мы достойны медалей, то за 22й , видимо, памятники ставить можно."
26,Президент Е.М. Шульман поздравляет своих сограждан с Новым Годом
27,"ЕМ, рассказывайте нам потом что у вас нет президентских амбиций. Новогодние обращения вон уже тренируете :-).  Спасибо за ваши слова, вам и семье хорошего года!"
28,"Очень надеюсь, что будет поздравление и в этом, 2022 году!"
29,"Одно из лучших новогодних обращений! Очень скоро, я надеюсь, наступит настоящий новый год, или новый век (новая веха) в истории нашей страны, России "
30,Когда уже начнем предвыборную программу чтоб хотя бы в 24 году ЕМ официально поздравляла нас по  ????
31,"Одно из лучших обращений, приуроченному к 2022 году. Спасибо, что дарите широкой аудитории разный спектр академических знаний"
32,"У Екатерины, даже поздравление, превращается в мини лекцию :) С НГ граждане."
33,"Только сейчас прослушала поздравление от Екатерины Михайловны, вот в этот миг наступил 2022 год, пойду подниму бокал шампанского за всех настойчивых людей России и планеты!!  "
34,"Сегодня 1 апреля 2022, и как странно и трагично смотреть на жизнь до 24.02.2022! И как права была Екатерина Михайловна: 2022 год останется в истории как самоценный, который не нужно будет пояснять."
35,Новогоднее обращение для здорового человека от здорового человека
36,"Дорогая и горячо любимая Екатерина Михайловна, с новым годом! Всех благ Вашей прекрасной семье! Спасибо за свет и знания, которые Вы дарите! Будьте счастливы!"
37,Хочу когда-нибудь в будущем увидеть эту женщину на главных каналах страны перед боем курантов в новогоднюю ночь 
38,"Президент, которого мы не заслуживаем, но который очень нам нужен. С наступающим ,Екатерина Михайловна. Здоровья вам, энергии побольше. С праздником!!!"
39,"Вот уж точно самоценная дата. Кажется, медаль за дожитие всё ещё будет актуальна"
40,"Я очень хотел бы, что когда-нибудь , Россию возглавит  такой человек, как Екатерина."
41,"Дорогая Екатерина Михайловна, а так же все её подписчики и поклонники!! Желаю Вам счастья, здоровья и любви в Новом году!!"
42,"Стоическая мораль выживших.... Екатерина Михайловна, спасибо Вам за смысловые нагрузки"
43,"Речь, после которой настроение улучшается даже 1 января! Браво, Екатерина Михайловна!"
44,"Отвечу на это традиционным: ""Екатерину Михайловну в президенты!"". Спасибо Вам!"
45,"Большое спасибо, Екатерина  Михайловна, за эти вдохновляющиие и обнадеживаюшие слова! Так победим!"
46,Президент умного человека
47,"Ум, честь и совесть! "
48,"Екатерина Михайловна, спасибо вам что вы есть! Будьте с нами еще, здоровья вам и удачи!"
49,"Президент здорового человека! Спасибо вам за поздравления! С новым годом всех, друзья! "
50,Ждём следующее обращение
51,Лично я хотела бы именно вас видеть на федеральных каналах!спасибо за поздравление!!!
52,"Уважаемая Екатерина Михайловна, низкий Вам поклон за все труды Ваши и самые тёплые и добрые пожелания в Новом году! Пока в нашей стране есть такие люди как Вы - я понимаю что ещё не все потеряно "
53,"Новогоднее обращение здорового человека. Приятно слушать, всех с праздниками!"
54,"Какая Вы удивительная, Екатерина Михайловна! Как особенно приятно видеть Ваше лицо и слушать Вас именно на этом фоне.  Присоединяюсь к поздравлениям!"
55,блин у меня после обращения Екатерины Михайловны появилось новогоднее настроение! всех подписчиков Екатерины Михайловны с Наступающим и Наступившим Новым годом! Спасибо Екатерина Михайловна!
56,"Спасибо Екатерина Михайловна - в самое сердце слова, в самую суть! И вас С Наступившим!"
57,"Вот это - поздравление! Не то, что.... С новым годом, уважаемая Екатерина Михайловна! Здоровья и творческих успехов!"
58,"Каждый, кто читает этот комментарий, знайте и помните, вы сильны телом и духом, все у вас будет хорошо! Верьте в себя! С новым годом!"
59,"Екатерина Михайловна, Вы наше сокровище! Будьте здоровы!"
60,"Вот это поздравление ,ничего лишнего,все по делу,да еще какая мотивация.Это лучшее поздравление за этот год!Подписываюсь на канал!"
61,"Спасибо!  У вас я учусь, как жить в абсурде во всей своей жизни, и вы даёте мне силы"
62,Выложено 21 час 
63,19
