,comment,text_clear,negative_proba
0,"Нет никакой смотровой площадки тут, если кто то за видами сюда собрался, только фотографии на улице, где столы и стулья, прямо на асфальте стоят и народ который вышел покурить из окружающих заведений тусит. В общем это место не для семейной пары с детьми, чтоб сделать памятные фотографии на фоне достопримечательностей. Это мой личный отзыв и взгляд на реальность.",никакой смотровой площадки видами сюда собрался фотографии улице столы стулья прямо асфальте стоят народ который вышел покурить окружающих заведений тусит общем это место семейной пары детьми сделать памятные фотографии фоне достопримечательностей это личный отзыв взгляд реальность,0.21891166012779562
1,Не стоит идти если хочешь прилично провести время. Тут не для спокойного время препровождения.,стоит идти хочешь прилично провести время спокойного время препровождения,0.24234278798306297
2,"Место не очень, охранники максимально неадекватные , кавказцам пускают только за деньги, хотя они сами из не русские, (взяли тысячи рублей якобы им штрафуют) 👎",место очень охранники максимально неадекватные кавказцам пускают деньги хотя сами русские взяли тысячи рублей якобы штрафуют,0.5033573026815081
3,"очень маленькое место, а народ курит везде не продохнуть, музыка от всех орёт не в унисон, стулья и столы на улице общие поэтому никто их не моет. только для тех кто ищет приключения на 5 точку.",очень маленькое место народ курит везде продохнуть музыка орёт унисон стулья столы улице общие поэтому никто моет тех ищет приключения точку,0.2372493553254411
4,"Курят внутри, на столах стоят пепельницы. Куйбышевбар наливает пиво в пластиковые стаканы. Лестница ведет в никуда, к закрытой калитке. Отвратительные входы, как будто по помойке идешь.",курят внутри столах стоят пепельницы куйбышевбар наливает пиво пластиковые стаканы лестница ведет никуда закрытой калитке отвратительные входы помойке идешь,0.34888206385899967
5,Ничего оригинального и интересного . Бары дорогие . Скучное место,оригинального интересного бары дорогие скучное место,0.3919994445887657
6,"Делать нечего на станкозаводе(( заведения отстой, еда не вкусна ",делать нечего станкозаводе заведения отстой еда вкусна,0.8727438185270873
7,"Не особо хорошее место, мне не понравилось. Чтоб попасть в магазин нужно подняться далеко не по безопасной лестницы. Не рекомендую",особо хорошее место понравилось попасть магазин нужно подняться далеко безопасной лестницы рекомендую,0.2705787335582184
8,"Очередное псевдокультовое место. Завышенные цены,отвратное обслуживание.  Ничего интересного. Второй раз не пойду",очередное псевдокультовое место завышенные цены отвратное обслуживание интересного второй пойду,0.3598072310190362
9,Прикольно,прикольно,0.08376594595198406
10,"Всё звезды интерьеру и бомбической атмосфере ) 
Кафе: меню и цены, сервис - желают оставлять лучшего. 
В ближайшее время точно не пойду сюда.. 
Вероятно, ребятам нужно время, чтобы освоиться",всё звезды интерьеру бомбической атмосфере кафе меню цены сервис желают оставлять лучшего ближайшее время точно пойду сюда вероятно ребятам нужно время освоиться,0.38764695478663336
11,"пока там делать особо нечего, заведений мало, все закрыто почти, но внутри хороший красивый ремонт",пока делать особо нечего заведений мало закрыто внутри хороший красивый ремонт,0.7749082119724958
12,"В каждую дырку пытаются засунуть арендаторов, где-то креатив никому непонятный навести, для людей ничего особенного и интересного. ",каждую дырку пытаются засунуть арендаторов креатив никому непонятный навести людей особенного интересного,0.5033711164989833
13,"Не понял что завидение- разные залы, вход через улицу- было битком в заведении",понял завидение разные залы вход улицу битком заведении,0.36541482919994106
14,"Стульев мало, посадочных мест ещё меньше. Музло на любителя, по мне так шляпа. Пивная карта слабовато, коктейльная вроде более менее, но ингредиенты уже смешаны и подготовлены, что не даёт убирать или добавлять, то что нравится.",стульев мало посадочных мест ещё меньше музло любителя шляпа пивная карта слабовато коктейльная вроде менее ингредиенты смешаны подготовлены даёт убирать добавлять нравится,0.3573755810647161
15,"Не более, чем необычный антураж) может дальше будет интересней)",необычный антураж дальше интересней,0.28393078465767363
16,"Пытались что то сделать ))) но ни фантазии ни опыта ни денег что то интересное сделать видимо  нет 

Возможно что то будет меняться со временем …. Но Пока - не впечатлило",пытались сделать фантазии опыта денег интересное сделать видимо возможно меняться временем пока впечатлило,0.3825913848423428
17,Пока что там пусто))),пока пусто,0.7365405020758646
18,"Обещала отзыв на персонал- пишу. 17 сентября были на вечеринке бчб на станкозаводе, и все бы прекрасно. Но персонал на входе, а конкретно барышни, что пробивают оплату за вход и вешают браслеты- про слово «сервис» и что вы «лицо заведения» очевидно им не сказали. Хамки, каких только поискать. Я такого позорного персонала не встречала оч давно.да никогда. Успехов площадке и прекрасных артистов. ",обещала отзыв персонал пишу сентября вечеринке бчб станкозаводе прекрасно персонал входе конкретно барышни пробивают оплату вход вешают браслеты слово сервис лицо заведения очевидно сказали хамки каких поискать такого позорного персонала встречала оч давно успехов площадке прекрасных артистов,0.21713988938181894
19,"Очень интересное и необычное место. Были на шоу ""Все наши"", для модного показа атмосферно. Но вот уборных нет (((",очень интересное необычное место шоу наши модного показа атмосферно уборных,0.09840567047588711
20,Интересное место,интересное место,0.1634039661345822
21,"Ещё улучшать и улучшать, украшать и расширять.",ещё улучшать улучшать украшать расширять,0.37606891416652
22,У этого места все впереди,места впереди,0.5646066549322434
23,"Достаточно Прохладный конференц-зал, зал для проведения банкетов вообще очень минималистичном стиле, наверное того требует Эпоха",достаточно прохладный конференц зал зал проведения банкетов вообще очень минималистичном стиле наверное требует эпоха,0.4043586329242289
24,"В целом очень неплохо. Я про вечерне-ночную жизнь. Куйбышев ближе репертуаром и ""построением"" пространства, живой музыкой. Но все убивает персонал.  Бармены отстой. Особенно мелкий с азиатской внешностью. Хрен дозовешься-расплатишься. Большой пухлый такой же. Нормальный только темненький худощавый. Волжайна мала посадочными местами. Но персонал на высоте. И бармены и девчонки-официантки. Постоянно ""у вас приняли заказ""? Даже если стоишь в 3 ряду. Выбор всегда есть.",целом очень неплохо вечерне ночную жизнь куйбышев ближе репертуаром построением пространства живой музыкой убивает персонал бармены отстой особенно мелкий азиатской внешностью хрен дозовешься расплатишься большой пухлый нормальный темненький худощавый волжайна мала посадочными местами персонал высоте бармены девчонки официантки постоянно приняли заказ стоишь ряду выбор,0.22602061907401316
25,Симпатичное родное место,симпатичное родное место,0.492562053312699
26,"Такое красивое место! Яркое, разнообразное, многоуровневое. Сочетание советских отголосков с ультрасовременным дизайном. Есть два неприятных момента. Во-первых, нигде нет указателей, где что находится. Пришлось уточнять по телефону, как пройти в нужное мне место. Во-вторых, чтобы попасть на 2-й этаж, нужно было подниматься по уличной лестнице. Шёл дождь, и это было крайне неприятно. Плюс я была с ребёнком - коляску тоже пришлось бросить под дождём. Но в остальном я довольна. ",такое красивое место яркое разнообразное многоуровневое сочетание советских отголосков ультрасовременным дизайном неприятных момента первых нигде указателей находится пришлось уточнять телефону пройти нужное место вторых попасть й этаж нужно подниматься уличной лестнице шёл дождь это крайне неприятно плюс ребёнком коляску пришлось бросить дождём остальном довольна,0.46699007286039484
27,"Отличное место для фотосессии. Мало развит ещё, добавьте картину галерею)",отличное место фотосессии мало развит ещё добавьте картину галерею,0.23119179599442863
28,"Авансом ставлю 4*, за идею. 
На мгновение я подумала, что попала телепортом в СПб или Екат. 

Но потом, наткнулась на кафе, с табличкой, ""мы открылись первыми"", которое по факту не работало, по причине, написанной на клочке бумаги и приклеенной на дверь "" Нет воды"".

Открыто всего лишь пару аудиторий, одна с табличкой, ""Лекторий"", в обеих шоу-рум, и фуршет. При чем не понятно, для кого. 
Если я правильно поняла, это новый творческий кластер, с высокой арендой и амбициями. 

Но, что однозначно круто, так это выход на крышу! 
Посмотреть, точно рекомендую :)! ",авансом ставлю идею мгновение подумала попала телепортом спб екат наткнулась кафе табличкой открылись первыми которое факту работало причине написанной клочке бумаги приклеенной дверь воды открыто лишь пару аудиторий одна табличкой лекторий обеих шоу рум фуршет понятно кого правильно поняла это новый творческий кластер высокой арендой амбициями однозначно круто это выход крышу посмотреть точно рекомендую,0.045863296329292536
29,"Отличная локация, но почему все закрывается в 18/19 часов? 
В чем смысл держать на территории магазины, которые не генерируют трафик в вечернее время? 
Люди в основном своем работают до 18 часов. 
Ок, я вот хотел бы приобрести кое что, но придя после работы меня встретят закрытые двери магазинов, но благо есть приветливый персонал из ресторанов, хоть где-то плюс) 
Все гастро проекты хороши в локации. 
Хотели попасть на мероприятия на крыше, но не успели. В другой раз обязательно посетим. Утром йога, вечером вечеринка с видом на потрясающие самарские закаты. 
Надеюсь что этот проект станет одной из маст визит локаций Самары, которой так этого не хватает.",отличная локация почему закрывается часов смысл держать территории магазины которые генерируют трафик вечернее время люди основном своем работают часов ок хотел приобрести кое придя работы встретят закрытые двери магазинов благо приветливый персонал ресторанов плюс гастро проекты хороши локации хотели попасть мероприятия крыше успели обязательно посетим утром йога вечером вечеринка видом потрясающие самарские закаты надеюсь проект станет одной маст визит локаций самары которой хватает,0.4782989541761946
30,Место притяжения,место притяжения,0.4072126803617031
31,"Вчера были на концерте группы Мыслимима. Прекрасные виды на Волгу с крыши , атмосферное место, приятная музыка и душевная атмосфера.",вчера концерте группы мыслимима прекрасные виды волгу крыши атмосферное место приятная музыка душевная атмосфера,0.12875156659053655
32,"Неплохая задумка с roof palace, но то что работают до 22:00 огромный минус, не знаю образ жизни жителей города, но мне, жителю Северной столицы и гостю, не хватило момента насладиться видами ночного побережья и возможностью встретить рассвет с данной площадки. Встретить закат с данной локации -everyone should.",неплохая задумка работают огромный минус знаю образ жизни жителей города жителю северной столицы гостю хватило момента насладиться видами ночного побережья возможностью встретить рассвет данной площадки встретить закат данной локации,0.26680124099064795
33,"Очень атмосферно! Много заведений. Везде разная музыка, на любой вкус. Не берите темное пиво, отврат.",очень атмосферно заведений везде разная музыка любой вкус берите темное пиво отврат,0.3080426574044395
34,"С недавнего времени любимое место Волжайна😍
Крыша тоже топ!👍",недавнего времени любимое место волжайна крыша топ,0.2491834978130747
35,Бомбически драйвовая атмосфера! Получил необычайное удовольствие от посещения этого клуба. На бывшей территории средневолжского станкостроительного завода,бомбически драйвовая атмосфера получил необычайное удовольствие посещения клуба бывшей территории средневолжского станкостроительного завода,0.1322920394024807
36,Прикольное место можно сходить по фоткаться посидеть,прикольное место сходить фоткаться посидеть,0.24368102034100103
37,"Я оказалась в полном восторге! Как для туриста — место очень интересное, есть несколько кафешек, много локаций, чтобы сделать классные фото. Особенно понравился флористический магазин, расположенный на территории культурно центра.",оказалась полном восторге туриста место очень интересное несколько кафешек локаций сделать классные фото особенно понравился флористический магазин расположенный территории культурно центра,0.1589178927102477
38,"Интересное современное место. Атмосферные заведения, внутренний дворик, шикарный вид с крыши.",интересное современное место атмосферные заведения внутренний дворик шикарный вид крыши,0.10443895412389936
39,Классное тусовочное  место,классное тусовочное место,0.09285025214620002
40,Интересное место,интересное место,0.1634039661345822
41,"Атмосферное тусовочное место в Самаре, огромное количество знакомых людей. Весело, можно заходить из бара в бар, пить, танцевать, общаться. Достаточно громко, но так и должно быть.",атмосферное тусовочное место самаре огромное количество знакомых людей весело заходить бара бар пить танцевать общаться достаточно громко должно,0.1890970203167357
42,Обожаю это место 😍почти каждый выходной там отдыхаю 🍾,обожаю это место каждый выходной отдыхаю,0.0974277190981957
43,"Приятное самарское арт пространство , прекрасно и весело и красиво для летних вечеров. Можно найти заведение , кухню , и прочее по душе .",приятное самарское арт пространство прекрасно весело красиво летних вечеров найти заведение кухню прочее душе,0.04990121266345482
44,"Яркое, модное место для посиделок с друзьями, фотосессий и просто провести время!",яркое модное место посиделок друзьями фотосессий просто провести время,0.1917751677383045
45,"Интересное место, интересная концепция в стиле лофт. Из минусов нет парковки, заблокирован выход на смотровую площадку, которая могла бы быть якорем для посетителей.",интересное место интересная концепция стиле лофт минусов парковки заблокирован выход смотровую площадку которая могла якорем посетителей,0.1678295608580226
46,"Отличное движовое место 🔥 ходим сюда только в рестораны или бары, всё очень нравится! Вечером с пятницы по воскресенье тут очень Крутая атмосфера! Не были еще на крыше, но скоро исправим это))",отличное движовое место ходим сюда рестораны бары всё очень нравится вечером пятницы воскресенье очень крутая атмосфера крыше скоро исправим это,0.11118105476588935
47,"Очень приятное место в Самаре, с классными магазинами и общей концепцией.",очень приятное место самаре классными магазинами общей концепцией,0.39850437666355953
48,Смотровые площадки просто  великолепные. Виды завораживающие.,смотровые площадки просто великолепные виды завораживающие,0.2269055691991706
49,Атмосферное место! А вид с крыши - это надо видеть!,атмосферное место вид крыши это видеть,0.16212958793107834
50,Обалденное место,обалденное место,0.2784348029047191
51,Хорошее место. Интересные бары. Однозначно стоит туда сходить в каждое заведение. Ну а потом пойдут танцы) ,хорошее место интересные бары однозначно стоит туда сходить каждое заведение пойдут танцы,0.15382826354408197
